City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
634,Chimoio,MZ,71.46,few clouds,-19.1164,33.4833,Residencial Dabhad
640,Poco Verde,BR,75.69,broken clouds,-10.7083,-38.1833,Hotel Santa Cruz
642,Rupert,US,72.18,clear sky,42.6191,-113.6772,Uptown Motel
646,Tabas,IR,70.02,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
648,Callaguip,PH,75.9,light rain,18.0714,120.4867,Pangil Beach Resort
651,Mitsamiouli,KM,74.93,clear sky,-11.3847,43.2844,Foyer ADM
656,Taos,US,71.55,clear sky,36.4072,-105.5731,El Monte Sagrado
658,Gambela,ET,73.04,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
668,Vanimo,PG,76.68,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
671,Bulungu,CD,70.97,light rain,-4.55,18.6,Maison MC Michel
673,Tabuk,PH,72.88,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
677,Manggar,ID,78.89,light rain,-2.8833,108.2667,Guest Hotel
680,Seabra,BR,76.77,few clouds,-12.4186,-41.7703,Cambuí Hotel
682,San Juan,AR,70.83,broken clouds,-31.5375,-68.5364,Hotel Provincial
683,Poya,NC,76.69,clear sky,-21.35,165.15,
691,Prado,BR,75.16,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
697,Axim,GH,77.79,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
698,Bontang,ID,77.27,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
700,Quang Ngai,VN,72.66,overcast clouds,15.1167,108.8,Central Hotel
701,Socorro,US,70.07,few clouds,31.6546,-106.3033,guarderia imss papalote
